内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
大哥，祝你幸福。所以孩子是叫Judy吗？,2021-01-22 17:57:12+08:00,火星街yu,6274850441,117,395,f,42,2969,4596227247967909
大哥，我们会理解的,2021-01-22 17:57:09+08:00,七戒不戒了,5127133701,12425,624,f,47,2639,4596227235391521
内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
爽子妈事后网友们都好善良,2021-01-22 18:04:19+08:00,_市侩少女,5765117722,2599,635,f,571,5865,4596229042350422
祝福,2021-01-22 17:56:29+08:00,CuteeScout,5818971620,146,568,f,24,2588,4596227067623264
卧槽之后就是祝福吧。无论你选择了谁,2021-01-22 17:57:52+08:00,Astronaut_cosmonaut,6275223736,24,122,f,36,2700,4596227414714624
花花你要幸福，祝福你们，从13年陪你到现在，依然希望你能快乐下去，接下来让我作为歌迷继续陪伴你走下去！,2021-01-22 18:01:20+08:00,洁哥很哇塞yo,3924142086,1093,498,f,33,1848,4596228292353792
女孩子耶!,2021-01-22 17:56:52+08:00,柠汐夕_Xi,5759199860,10,184,f,56,1932,4596227164092115
华晨宇的真诚体现在对观众 对粉丝 对职业 对作品 对所有人 聪明是天赋 善良是一种选择 聪明如他 明白各种套路 却放弃这些投机的所谓人生哲学 善良真诚的对待一切 粉丝就像是温暖善良美好的正能量的输入 让我们有能量储备去更坚强善良宽容的对待这个世界 祝你们幸福！,2021-01-22 18:10:30+08:00,赵天天,1818562121,65277,777,m,191,1997,4596230598702708
我人傻了,2021-01-22 17:57:00+08:00,咲初小聞,5468823510,110,356,f,185,2871,4596227201838945
内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
我们还经常在说希望你找到自己的幸福..... 现在你突然就有了小Judy啦，祝宝宝健康快乐地长大，哥，希望你一定要一直一直幸福下去啊！！！！,2021-01-22 18:02:17+08:00,或许你喜欢虾滑吗,7246372517,16,292,f,1,822,4596228526195161
虽然大哥你以前说过谈恋爱不会告诉歌迷，但是一打开微博这么大信息量我还是傻了，现在也手脚发凉，心跳都感受不到了。你能幸福当然还是我一直希望的，可是心态的转变我也许还需要不晓得多久,2021-01-22 18:12:14+08:00,谢二季,7275307941,773,258,f,83,972,4596231030452647
从我了解你开始，你就是那个会把舞台展现得很完美的人！也知道你不喜欢让别人过多关注你的私生活！所以『华晨宇，你是自由！』不是说说而已！我喜欢的是舞台上的你,2021-01-22 18:05:48+08:00,小小丽yu,5252015389,248,202,f,3,725,4596229411449748
那祝福,2021-01-22 17:56:55+08:00,猫困不困,5687101750,2386,834,f,20,997,4596227179813079
音乐上强哥早就没什么能给你输出的了，你太强了！带孩子这事儿，改天哥跟你好好聊聊！好好的,2021-01-22 19:38:24+08:00,MrQ强先生,1657022395,1825668,708,m,33,499,4596252715796609
我没想过你要属于我们 我只希望你能快乐自由,2021-01-25 19:02:25+08:00,芒果酸奶绵绵冰yu,2556955141,1121,114,f,1,411,4597330827025129
内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
天天看小说，以为你是小说里走出来的男主，没想到把你看到小说情节里去了！心有点没了知觉，但现在有点缓过来了，祝福你，你要开心幸福！我们天津女孩我觉得不是很温柔，不过，不管怎样，你那种性格，可能这样的剧情更适合你！要继续加油！宝贝！！,2021-01-22 18:16:41+08:00,爱花花forever_lucky,1219557104,566,517,f,8,353,4596232150855817
祝福,2021-01-25 20:08:35+08:00,华七二,6594440957,15,50,f,0,174,4597347474216594
宝贝！要好好休息,2021-01-25 22:11:05+08:00,一念祂甜yu,6369790961,345,297,f,0,162,4597378302361621
华晨宇，我只告诉你一句，不管你怎样我都是希望你幸福就好，有个孩子真的是给你最好的礼物，你也不要有什么压力，更不要觉得歌迷们会有什么质疑，爱你的粉丝始终爱你，在我心里眼里你幸福是最重要的，张碧晨我也很喜欢听她的歌，所以我会一直陪着你，继续喜欢你喜欢你的音乐<a href='/n/华晨宇yu'>@华晨宇yu</a> 我心里你是最好的,2021-01-22 18:49:02+08:00,缒絿綄镁H,6024234666,248,291,f,6,333,4596240291999105
张碧晨带球跑 我的父亲竟是明星,2021-01-22 18:00:53+08:00,一家夜店,7478603860,24272,5,m,29,567,4596228179102278
我等你的演唱会,2021-01-25 23:07:16+08:00,炸炸我壳以,6623128999,45,179,f,0,152,4597392441618424
你高兴就好  感觉房子更牢固,2021-01-22 17:59:02+08:00,老万的心上人,7222955842,23,164,f,12,267,4596227708569018
我惊了,2021-01-22 17:56:51+08:00,醉后不知天在水l满船清梦压星河,1955290110,483,461,f,56,413,4596227163299458
恭喜！小judy,2021-01-22 18:21:36+08:00,世之念,3304088230,2218,187,f,7,272,4596233388438192
大哥，你扔了两颗雷走了，把黑煤球炸成了钢丝球，把古墓粉炸出来变成战斗粉了。咱们的力量更大了呢！,2021-01-25 16:50:10+08:00,努力的xiao木头,5517464222,65,77,f,6,119,4597297541816557
感觉你还是个孩子 ，现在又多了一个小花花，一起成长吧，祝福你！,2021-01-22 18:03:44+08:00,Miss侑子,1776369393,502,317,f,8,214,4596228891881161
一个代孕弃养，一个远走生娃,2021-01-22 18:13:51+08:00,是昨日青空啊,2350287363,191,364,m,11,393,4596231437296892
所以你跟zbc结婚了？,2021-01-22 18:02:14+08:00,白桃昭质_,5662913094,1680,1172,f,339,356,4596228514395916
内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
花花粉丝质量真的好高，路人粉看到评论区这么和谐突然泪目，你们相互依靠着往上同一个方向走的时候所有人都带着光，花花的孩子一定会很幸福这么多人爱着他,2021-01-23 01:55:02+08:00,佐娅-,2064824430,161,181,f,27,170,4596347498662142
啊啊啊啊啊啊啊我哥当爸爸了！！！！！！！！,2021-01-22 17:57:53+08:00,Ayozxuan,3602874237,284,80,f,1,168,4596227424128354
你说小朋友的到来治愈了你  你很开心 我也开心 你说这是上天特别的礼物  你很开心 我也开心 你说小朋友喜欢音乐  你很惊喜 我为你的惊喜 惊喜 你说小朋友会撒娇会关心人 你说小朋友很可爱 看见她你就很幸福 我为你的幸福 幸福 的确突然  能理解 不用谢,2021-01-22 19:10:41+08:00,花啷个花,3271596581,709,150,f,1,150,4596245744846269
想你了,2021-01-26 00:53:45+08:00,諶烁Yu,7007384304,218,340,f,0,66,4597419239015855
多了个小Judy本该是火星狂欢的盛事，但却被恶充满恶意的人弄得乌烟瘴气。当去年你知道小Judy存在时候，相信你是跟我们一样感谢她的到来，为爱而生的小老鼠，感谢您的等待，我们的小公主<a href='/n/华晨宇yu'>@华晨宇yu</a>,2021-01-25 15:07:25+08:00,Tenjo橙,2948928734,199,289,f,2,73,4597271683407461
祝福你呀我的宝贝,2021-01-22 17:58:23+08:00,哥斯拉喜欢吃香草味虾滑猪血糕yu,3173241353,276,315,f,1,123,4596227549432050
你没有敷衍过任何一个现场表演。每次都能给人惊喜。,2021-01-25 16:47:33+08:00,火星街yu,6274850441,117,395,f,0,71,4597296887498375
支持！,2021-01-22 17:56:34+08:00,Chris要努力奋斗,1697248915,3181,2546,m,8,136,4596227092776513
你幸福最重要,2021-01-22 17:56:59+08:00,灯火火火火火火火火火儿,2796052803,135,925,f,1,122,4596227193442280
每日一问：有新歌吗？,2021-01-25 15:13:26+08:00,Jeessi_ca,1731781110,97,168,f,5,63,4597273198340119
大哥，马上要破4000万啦，等你的福利呀，少了可不会放过你，哈哈哈,2021-01-25 16:46:12+08:00,安卿烨,5873127827,112,542,f,0,60,4597296543308251
今天天气真好，阳光明媚，春暖花开不远了,2021-01-26 13:11:34+08:00,火星村08042号ET,6263072735,0,51,m,0,55,4597604916662558
我真的好开心啊！真的，我老早的时候15年吧，在那个唱游天下的时候就觉得你俩好配！这会儿真是太感动了,2021-01-22 18:41:39+08:00,史莱姆无法消化的花,6915863791,777,74,f,8,129,4596238437319750
祝福！那首我们是不是唱给碧晨的,2021-01-22 17:58:31+08:00,STAR_体温与鹿,5684089023,205,318,m,25,125,4596227578287523
<a href='/n/华晨宇yu'>@华晨宇yu</a> 沒事的大哥，你的幸福是火星人共同的祈願，Judy更是我們的盼望，沒有什麼比你幸福快樂還要重要的，好好養著孩子，找到自己真正的幸福，繼續為音樂發光發熱，是給我們最好的禮物 ,2021-01-22 19:07:23+08:00,人生若yu初相見,6874098789,333,683,f,2,124,4596244910185724
你有你的宝贝了 但你还是我们的宝贝,2021-01-22 19:07:41+08:00,阿又是块疯石头,5890431435,16,74,f,1,98,4596244985692168
恭喜恭喜！恭喜宝贝！,2021-01-22 17:57:50+08:00,是奶油啊呦,5538317393,102,54,f,0,101,4596227406315427
哥，你幸福就好呀,2021-01-22 17:56:39+08:00,淘亓小per友,3861352155,23006,414,f,1,96,4596227113488344
希望你幸福,2021-01-22 17:56:30+08:00,他不野谁野,3180531580,136,115,f,1,89,4596227075224132
你永远自由，我永远爱你,2021-01-22 18:07:39+08:00,阿炰,6935328688,178,263,f,0,84,4596229877812675
内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
祝福,2021-01-22 17:56:34+08:00,不用看了没人理我,7069710236,5,42,f,0,97,4596227092784695
祝福！,2021-01-22 17:57:05+08:00,GEMDL7,5487927160,352,303,m,1,114,4596227217572864
恭喜你，有了个小可爱,2021-01-22 18:03:43+08:00,一目yu不了然,1882929842,226,186,f,0,87,4596228887943214
宝贝，你幸福快乐就好,2021-01-22 17:56:48+08:00,陌黎桜子yu,6651615047,147,180,f,0,97,4596227147047847
内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
"郑爽:早知道你两喜欢孩子,我卖给你们好了。",2021-01-22 18:52:20+08:00,吕哥在北京,2564135462,52693,6487,m,9,151,4596241121707096
以前想象过太多次这一天的到来   想过自己不知道怎么去面对这件事    但是这一天真的到来了   除了感叹你明明在我眼里还是很小的孩子  觉得你还是当时13年出现在我生命里那个闪闪发光的男孩  满满都是对你那句“我会坦荡面对大家的疑惑”的感动和自豪   我真的没有爱错人        我的男孩要幸福,2021-01-22 19:03:48+08:00,一只wryxhy的鲸鱼,5151417353,263,754,f,3,90,4596244007381625
我知道了,2021-01-22 17:56:49+08:00,花飒飒yu,6271533846,114,132,f,2,83,4596227150983768
下午好啊哥~,2021-01-25 17:31:09+08:00,荣荣烨青睐yu,6031196747,1355,411,f,259,33,4597307855609092
华哥勇敢飞，歌迷永相随，出事自己背～,2021-01-25 15:53:49+08:00,阿尔曼热带鱼,2298083235,78,59,f,1,36,4597283360350439
内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
我成功的不在意的外表，注重你的作品，歌迷原来这么纯粹，还要一起回火星呐,2021-01-25 15:04:43+08:00,没有抢到票的主唱,6147098768,15,100,f,0,31,4597271004191749
睡不着。很久不曾主动关注你了，点开这个消息之前我以为自己不会有太大的情绪起伏，没想到突然就泪流满面，我已经不再年轻，更不是什么女友粉，只是意识我从13年认识的那个男孩真的长大了，都当爸爸了，真好！我几乎可以想象得到你和宝贝相处的样子，该是多么的温柔。,2021-01-23 01:10:14+08:00,冰冰凉凉小布丁,6663173719,74,75,f,1,42,4596336223586709
一两岁的孩子就能哼唱斗牛了？！！ 二十几岁的老阿姨还只会follow follow 嘿 以后又是一个音乐天才，可能以后我追完她爹就又去追她了 …… 华晨宇，要幸福呀～,2021-01-22 23:36:06+08:00,呆橙疯名在外,5286151258,5420,306,f,2,50,4596312538879978
说了最重要的是就是你幸福，那肯定说到就做到的。无论做了什么决定，只要是你慎重考虑后的，那我都支持，毕竟成年人啦，要为自己为家人负责任。今天确实太震撼了，好多朋友都在问我，我也一一解释了。现在手还有点抖，今天数据作业也打算缓个一天，我们都做一下心理建设。就…你幸福最重要。,2021-01-22 18:33:15+08:00,半生疯mer的夏夏yu,1070006743,1264,213,f,0,45,4596236324184621
我永遠相信 選擇你 跟隨你 沒有錯 <a href='/n/华晨宇yu'>@华晨宇yu</a>,2021-01-25 17:00:39+08:00,橙子yuyu0207,7517240653,2,53,f,0,27,4597300180034127
爱孩子的同时，别忘了et哦！,2021-01-22 18:42:28+08:00,Liiyy__,5494776425,1316,75,f,3,48,4596238643365377
希望你不要因为孩子就一定要跟谁在一起，找一个真正喜欢的人结婚。不爱就不爱了，不要勉强自己,2021-01-23 02:02:41+08:00,泡泡乌龙奶,6669156145,555,278,f,17,57,4596349427253647
内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
啊啊啊啊啊啊啊太激动了哥！和谁在一起都要幸福！哥呜呜呜给孩子激动坏了,2021-01-22 18:16:34+08:00,在你银河有迹可循,2654458205,62,239,f,0,49,4596232120747108
恭喜花花，期待花爸更多音乐作品,2021-01-22 18:15:16+08:00,夜间飞行ing,3635746567,295,844,f,0,50,4596231797999198
如果说真的有一点点难过，那就是遗憾你（暂时）没能像个普通人一样和心爱的人结婚，孕育一个小宝贝，享受孩子从孕育开始成长的点滴，不过想到以后你有一个宝贝女儿可以宠，也不错。这么多年一路走来，你肯定会是个好爸爸的,2021-01-22 20:13:54+08:00,Mer丫yu,6874870252,75,152,f,3,46,4596261653058627
只希望这个宝宝能治愈你所有的不开心，我还是希望你过的好，有一个爱你的人在你身边陪着你。,2021-01-22 19:30:46+08:00,卡卡猫九,6030536707,92,215,f,0,24,4596250794793805
只要能治愈你的抑郁症！就可以啦,2021-01-22 18:15:55+08:00,Luckyxuan7,5143380935,700,301,f,11,36,4596231962101021
是Judy哦！只要是你华晨宇的，祝福你，真的,2021-01-22 18:14:21+08:00,yumiAU,1709068990,424,177,f,1,42,4596231563390491
一直很喜欢花花！花花是一个非常优秀的歌手，粉了这么久唯一的遗憾就是他一直孤孤单单的。想不到一下子就来了个这么大的惊喜！！ 啊啊啊啊啊啊！！开心死了！！大哥牛逼！！！,2021-01-22 18:02:31+08:00,风不辞,6099180482,1061,51,f,0,48,4596228590147911
我覺得你很有擔當很勇敢，祝你幸福，我永远爱你们！！！,2021-01-22 21:15:19+08:00,華晨宇的海參Chrisy72,1747116007,11444,932,f,0,21,4596277105396248
华晨宇，你一定是一个好爸爸,2021-01-22 18:38:53+08:00,花壳儿yu,6060753772,135,106,f,0,35,4596237736913706
祝你幸福快乐！,2021-01-22 18:04:14+08:00,晨婧yu,3766496593,128,293,f,0,32,4596229017455049
你幸福就好 太man了 这辈子是ET绝不脱粉,2021-01-22 18:18:48+08:00,辫儿哥哥的小狐妖,3070738421,30834,245,f,4,35,4596232687977472
内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
我会一直在,2021-01-24 17:25:03+08:00,快乐天空happysky_yu,3845428350,1971,558,f,1004,10,4596943936555731
爱她再结婚，不爱就不要被捆绑。你要为自己做过的事负责。女方当方面一定要生下。应该是爱你想捆着你。而有了孩子还没有在一起。说明你不爱她。不爱她为什么要有baby。这摊子收拾起来，受伤的还是孩子。有点没逻辑。但是真的生气。花花，你你你你你，你后悔不,2021-01-23 09:46:33+08:00,樱桃肉丸子的麻麻,1926466163,155,350,f,9,36,4596466158936301
,2021-01-26 11:36:45+08:00,LAYearn__6490,6464482614,5,184,f,0,17,4597581055269790
只要你幸福就好,2021-01-27 07:17:24+08:00,苏菲娅的小宇,7349717943,154,310,f,448,16,4597878175829976
说在前面，此事不谴责，不提倡。两天睁眼到凌晨四点，想通了。整理出了生气点：1.你眼光差；2.影响事业；3.有欺骗嫌疑。不过这些都不重要了，重要的是你的作品你的舞台都是S级最顶的，把信任找回来是你的课题，老娘看着呢,2021-01-25 02:02:47+08:00,肆肆G,5954802737,39,37,f,2,17,4597074224220555
大哥 被ty狗公司绑架了你就眨眨眼,2021-01-23 02:02:07+08:00,猪血糕味羊腿,6670378073,9,79,f,5,39,4596349280979279
天呐，你粉丝直接涨了50万,2021-01-22 19:44:20+08:00,咔Eureka,5955210430,94,128,f,4,42,4596254212620526
恭喜大哥,2021-01-22 17:57:00+08:00,周周爱吃粥yu,7335359221,1259,129,f,1,37,4596227197127840
宝贝，你是自由,2021-01-25 15:18:58+08:00,从开始到永久薇薇安yu,1007675393,8,20,f,0,16,4597274589808892
华晨宇，一定要幸福哦,2021-01-25 15:02:20+08:00,南南yuyu,6431682862,644,389,f,0,19,4597270404407688
两个成年人在明确没有结婚生子的条件下，不管男生还是女生，如果自己都不能对自己负责，不该出了事才想起来怪罪任何一方没有替自己负责。成年人的感情里没有绝对的对与错，若他固然有错，她也必然是个厉害角色。更不是简简单单道德标准能评判的。他已经承担了做父亲的责任。远离私生活，你没权利指责/,2021-01-24 14:48:51+08:00,魔芋球yu,7312795428,334,217,f,0,22,4596904623874320
上天派来了一位小天使，治愈了你，你的开心幸福也治愈了我们。请记住，火星人会一直在你身边，守护你和你的快乐！,2021-01-22 20:49:25+08:00,华晨宇火星园丁学院,6193931375,11782,20,f,0,21,4596270586941935
祝福你<a href='/n/华晨宇yu'>@华晨宇yu</a> 你开心就好，我们依旧是台上台下的关系，爱你,2021-01-22 18:57:47+08:00,yi_0207,6197333332,10581,481,f,0,34,4596242493489275
每次认认真真看这一大段话，心都会不受控制地软塌塌一片。我感受到他有多爱Judy，感受到小公主有多可爱。小Judy能给他带来幸福和治愈，我很开心。,2021-01-23 01:11:52+08:00,·七重疯厨宝贝Judy·,2665381742,1783,829,f,0,20,4596336635155349
你好宝贝，请接受我的祝福,2021-01-22 19:18:19+08:00,只能宠着HCY,6533146127,94,144,f,0,21,4596247664796552
看到这个消息真的为你,2021-01-22 18:55:05+08:00,心如candy,1785697767,233,838,f,0,25,4596241814802812
祝福你～,2021-01-22 17:57:52+08:00,ejlisna-檸檬柑橘草莓西瓜,2323732822,739,1639,f,0,24,4596227415744002
但是妈妈现在真的好想你,2021-01-25 15:09:48+08:00,春花少女啦啦,5131747668,449,278,f,0,17,4597272283458570
花花商量个事啊，你看，你都有娃陪着过年了，还不应该让我们有首新歌哼着过年？ 你看着办，要不然这群疯婆娘指不定会干出什么事来。反正没歌的话……哼哼，我计划组团抢娃去！,2021-01-24 08:47:23+08:00,这个春天有点疯,5357487671,90,269,f,1,19,4596813656756348
大哥，你感到幸福就好啦！她一定会是一个很幸福的小公主吧！<a href='/n/华晨宇yu'>@华晨宇yu</a>,2021-01-22 18:16:56+08:00,GAO_Y_QYOONA,5715550071,405,639,f,0,28,4596232213505883
内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
其实我点了很多说脱粉的人的微博 进去发现其实她们都没怎么关注你 也没有支持过你 可能最多就转发过你的微博 我不知道她们争相发这种言论是为什么 是跟风还是怎么样,2021-01-23 01:38:26+08:00,阿桑没有硬币了,6447910752,176,366,f,24,22,4596343325327746
我能不能说一句，等两年上爸爸去哪儿,2021-01-22 18:43:09+08:00,木南楠7,5327667851,63,299,f,5,40,4596238811681499
卧槽？,2021-01-22 17:56:55+08:00,我不玩蔡文姬,5282206153,1613,297,f,7,66,4596227180077080
要幸福！,2021-01-25 16:46:30+08:00,眉花yu,1697226607,188,116,f,0,16,4597296618544571
给我一两天时间消化这个消息，然后继续帮你抵抗流言蜚语，一定要幸福,2021-01-22 18:29:48+08:00,吸宇人,6807359857,2,113,f,6,41,4596235452042635
大哥应该20年王牌歌手结束才知道孩子存在，并且承担了一切后果，看他5月份的微博，就知道当时多么无助吧，我理解他，在这个事被营销号爆出来，其实堂哥已经辟谣了，热度也压下去了，他大可不让我们知道，但他没有啊，他选择自爆，不想让歌迷在别人的嘴里知道真相，不想让我们对他失望，他真的很勇敢的,2021-01-23 21:53:12+08:00,ago_3201,5970349783,36,32,f,3,20,4596649031108922
你说的一家人不说两家话，我们只要你幸福,2021-01-25 17:25:15+08:00,花轮明子,5751074592,311,739,f,0,16,4597306370302217
华晨宇 我爱你,2021-01-25 15:19:05+08:00,鸭子和熊yu,6200417420,69,212,f,0,16,4597274619162757
我们都在 我们不会丢下你 你也不准丢下我们,2021-01-25 15:03:36+08:00,红狐栗栗,5333047287,10321,499,f,0,13,4597270723692865
"Don’t let anyone get you influenced. We just live one life so be happy, enjoy your baby. We appreciate all your talent so don’t bother to read bad comments. Just selfish people can not understand. Love you from Mars and beyond!!",2021-01-24 14:18:57+08:00,Hua_heart,6684244131,33,55,f,3,15,4596897098505083
虽然不是你的粉丝，虽然今天知道这个消息也是很震惊，但更多的是祝福，你一定是一个好爸爸的,2021-01-22 21:47:42+08:00,士多碑梨guan,6857071898,132,142,f,0,16,4596285255194016
虽然是被迫爆料，但整个事情及回应都充满逻辑漏洞，我知道事情过于私密，你也怕我们担心，所以这样表述，既然一切都是你的选择，那任何结果都是你应该承担的。两三年前我就已经学会不用舆论感知你，直接用音乐了解你了。说实话，这次你在我心里增添了一抹人物弧光。希望你能少一点痛苦，保护好自己。,2021-01-24 10:27:19+08:00,贰糖yu,5709194539,247,66,m,2,17,4596838806334362
我以前就知道，你以后有另一半的话，一定不会让我们知道的，你不是会主动分享这些的人，这次委屈你了，抱抱,2021-01-23 01:15:11+08:00,焱焱华焱焱,6436470624,258,565,f,0,16,4596337469556986
同样是孩子的事情 看看这些文字 多温暖 多有爱 多担当 ,2021-01-22 18:52:33+08:00,去大理__,5210498740,2662,730,f,0,21,4596241177263438
花花和晨晨还有宝宝，祝福你们,2021-01-22 18:46:16+08:00,暴躁粉粉粉丝,3832458269,138,325,f,1,26,4596239600202509
当 再度毁灭后 一切变更纯净 这狂热的感受(才明白),2021-01-23 18:22:03+08:00,有小星星的绒绒yu,7268338070,73,253,f,1069,6,4596595888509373
我的宝贝，有了他自己的宝贝，还能怎么办，一起宠着呗,2021-01-23 04:30:46+08:00,叫掰掰的ETT,7053135374,137,318,f,1,14,4596386689974655
唉睡不着，你的路只能靠你自己走下去。作为歌迷，你出歌开演唱会一定支持，也希望Judy健康快乐成长。我一直相信娱乐圈所有的坎都可以通过作品和实力去化解。晚安。,2021-01-23 01:21:04+08:00,清蒸蟹就好吃yu,1770728002,9147,327,m,0,16,4596338953816734
大哥看祝福就行了哈，小弟们都陪着你呢,2021-01-22 19:38:10+08:00,咸鱼儿yu,7164557559,6,118,f,0,17,4596252661253958
内容,评论时间,用户名,id,关注人数,粉丝,性别,回复数量,点赞数,cid
太好了，你终于不再独自一人了,2021-01-22 18:39:38+08:00,幻唤浣,6697008238,210,216,f,0,34,4596237930072860
,2021-01-26 13:41:59+08:00,王道木子,5677021128,137,350,m,0,15,4597612571014217
大哥你我们就是赖上你了,2021-01-25 17:49:49+08:00,·火星德文卷·,7231747023,53,204,f,0,18,4597312552447662
哥，謝謝這兩字就別說了，你說過一家人不說兩家話，不是嗎,2021-01-25 00:28:27+08:00,人生若yu初相見,6874098789,333,683,f,611,15,4597050484200428
OMG…,2021-01-22 17:56:50+08:00,七里滨日落_,6897577888,597,1342,f,1,32,4596227155434197
biubiubiu,2021-01-27 13:12:53+08:00,荣荣烨青睐yu,6031196747,1355,411,f,323,10,4597967636405829
早安,2021-01-24 12:16:42+08:00,荣荣烨青睐yu,6031196747,1355,411,f,1130,10,4596866333034839
你要真的幸福 不要骗我们 我不想要你假装幸福或者让我们觉得你很好<a href='/n/华晨宇yu'>@华晨宇yu</a>,2021-01-23 01:05:57+08:00,只有华晨宇守着的沙漠,6830109264,25,78,f,1,19,4596335149581789
宝贝我们都理解，我们都爱你，放心吧，祝福两个宝贝,2021-01-23 01:04:05+08:00,虾滑的彤彤perper,6303506872,271,482,f,1433,13,4596334676152615
我们会好好爱小公主的 但是别太偏心 以后发一首关于小公主的歌 就得再发一首写我们的 不然会吃醋 哼,2021-01-22 19:43:14+08:00,羊啵啵的锅巴,6106990768,79,145,f,0,22,4596253936321214
大哥开心就好。恭喜你有了自己的Judy,2021-01-22 19:14:50+08:00,喜欢就不的微微,5020211691,374,87,f,0,29,4596246789231742
深情最美，来日方长！,2021-01-24 13:18:08+08:00,花花是超人yu,2896340250,80,293,f,0,12,4596881793490260
放心过你的生活！火星人很强大！只要你幸福开心就好！,2021-01-23 15:14:22+08:00,疯狂爱上花Ivy,7296275615,199,561,f,22,13,4596548656440670
大哥啊,2021-01-22 19:10:42+08:00,_靜per,7457919860,332,561,f,1,18,4596245743823236
你要知道你的火星人永远站在你这边,2021-01-25 17:27:36+08:00,放空实属无奈,5902405728,52,59,f,0,13,4597306962480469
不要管别人怎么说,2021-01-25 15:10:18+08:00,鸭子和熊yu,6200417420,69,212,f,0,15,4597272413475355
